Name,Latitude,Longitude,Type,Status,Category,Size,Rooms,Bathrooms,Price,Info_url,image_url
Proyecto Sevilla,8.9394434,-79.6423486,Residencial,En Construcción,Apartamentos,90m2,2,1.5,"$120,000",https://www.acobir.com/proyectos/list/proyecto-sevilla/,https://www.acobir.com/site/assets/files/2023/12/05/6612/entrenucleos-11.600x450.jpg
Torres de España,0,0,Residencial,Proyecto a Estrenar,Apartamentos,"70,14m2",3,1.5,"$82,798",https://www.acobir.com/proyectos/list/torres-de-espana/,https://www.acobir.com/site/assets/files/2023/11/23/6591/te01-2.600x450.jpg
PH Demetra,,,Residencial,Proyecto a Estrenar,Apartamentos,72m2,2,2,"$165,000",https://www.acobir.com/proyectos/list/ph-demetra/,https://www.acobir.com/site/assets/files/2023/07/24/6315/ph_demetra_abr_2023-21.600x450.jpg
ALEXA,8.9851813,-79.5156066,Residencial,Pre-Venta,Apartamentos,"48,5m2",1,1,"$104,300",https://www.acobir.com/proyectos/list/alexa/,https://www.acobir.com/site/assets/files/2022/11/23/5784/alexa_pb.600x450.jpg
Torres de Castilla,8.999227,-79.5172926,Residencial,Proyecto a Estrenar,Apartamentos,86m2,2,2,"$179,900",https://www.acobir.com/proyectos/list/torres-de-castilla/,https://www.acobir.com/site/assets/files/2022/11/23/5772/torres_de_castilla_flyer_03_2022.600x450.jpg
P.H. Epoca,9.0080413,-79.5040305,Residencial,Proyecto a Estrenar,Apartamentos,55m2,3,2,"$130,100",https://www.acobir.com/proyectos/list/p.h-epoca/,https://www.acobir.com/site/assets/files/2022/11/22/5757/epoca_torre_web_acobir.600x450.jpg
Mansión Baluarte,8.92035511848927,-79.66230309846986,Residencial,Pre-Venta,Apartamentos,52m2,1,1,"$240,000",https://www.acobir.com/proyectos/list/mansion-baluarte/,https://www.acobir.com/site/assets/files/2022/09/26/5694/mansionbaluarterender5.600x450.jpg
Santa Teresita Living,8.9537897,-79.5413914,Residencial,Pre-Venta,Apartamentos,45m2,1,1,"$128,000",https://www.acobir.com/proyectos/list/santa-teresita-living/,https://www.acobir.com/site/assets/files/2022/09/26/5693/render_fachada_ajustada_final_low.600x450.jpg
Casa Variedades,8.9533583,-79.538922,Residencial,Pre-Venta,Apartamentos,64m2,1,1.5,"$245,860",https://www.acobir.com/proyectos/list/casa-variedades/,https://www.acobir.com/site/assets/files/2022/09/22/5690/render_interno_casa_variedades.600x450.jpg
Forest Gate,8.987291599999999,-79.55980819999999,Residencial,Pre-Venta,Apartamentos,67m2,2,2,"$165,000",https://www.acobir.com/proyectos/list/forest-gate/,https://www.acobir.com/site/assets/files/2022/09/06/5675/whatsapp_image_2022-09-06_at_2_05_40_pm_3.600x450.jpeg
Mi Condado Torre 200,9.0273538,-79.5255493,Residencial,En Construcción,Apartamentos,72m2,2,2,"$159,100",https://www.acobir.com/proyectos/list/mi-condado-torre-200/,https://www.acobir.com/site/assets/files/2022/09/06/5674/jcv4319.600x450.jpg
Ph Mei Tower,9.0143805,-79.5339805,Residencial,Proyecto a Estrenar,Apartamentos,119m2,3,2,"$299,000",https://www.acobir.com/proyectos/list/ph-mei-tower-2/,https://www.acobir.com/site/assets/files/2022/09/02/5668/foto_1_entrada.600x450.jpg
LESS Albrook,8.9736944,-79.5623056,Residencial,Pre-Venta,Apartamentos,"17,67m2",1,1,"$99,000",https://www.acobir.com/proyectos/list/less-albrook/,https://www.acobir.com/site/assets/files/2022/07/22/5591/imagenes_catalogo_lessalbrook-01.600x450.jpg
Indie Town,8.9544039,-79.8599043,Residencial,Pre-Venta,Apartamentos,20m2,1,1,"$55,000",https://www.acobir.com/proyectos/list/indie-town/,https://www.acobir.com/site/assets/files/2022/07/22/5590/fachada-indietown-01.600x450.jpg
Nostrum Obarrio,8.984480103246497,-79.5262025620442,Residencial,Pre-Venta,Apartamentos,47m2,2,2,"$128,675",https://www.acobir.com/proyectos/list/nostrum-obarrio/,https://www.acobir.com/site/assets/files/2022/05/17/5537/captura_de_pantalla_2022-05-17_a_la_s_1_00_06_p__m.600x450.jpg
MORE Vía Argentina,8.9877873,-79.5295436,Residencial,En Construcción,Apartamentos,"42,31m2",2,2,"$131,741",https://www.acobir.com/proyectos/list/more-via-argentina/,https://www.acobir.com/site/assets/files/2022/05/17/5536/fachada.600x450.jpg
PH AURORA,,,Residencial,Pre-Venta,Apartamentos,120m2,3,2,"$310,000",https://www.acobir.com/proyectos/list/ph-aurora/,https://www.acobir.com/site/assets/files/2022/05/16/5535/165_01_aurora_e_semiaerea.600x450.jpg
BALCONY,,,Residencial,En Construcción,Apartamentos,76m2,2,2,"$198,000",https://www.acobir.com/proyectos/list/balcony/,https://www.acobir.com/site/assets/files/2022/05/16/5534/165_03_balcony_peatonal-_1.600x450.jpg
ALTAMIRA RESIDENCES,,,Residencial,Proyecto a Estrenar,Apartamentos,107m2,3,2,"$260,000",https://www.acobir.com/proyectos/list/altamira-residences/,https://www.acobir.com/site/assets/files/2022/05/16/5533/imagen_2.600x450.jpg
Lefevre 75,9.016352293529657,-79.49771358521343,Residencial,Proyecto a Estrenar,Apartamentos,81m2,3,2,"$165,473",https://www.acobir.com/proyectos/list/lefevre-75/,https://www.acobir.com/site/assets/files/2022/02/08/5416/fachada.600x450.jpg
Clayton Park,9.004622,-79.56949,Residencial,Proyecto a Estrenar,Apartamentos,"151,1m2",3,2,"$338,420",https://www.acobir.com/proyectos/list/clayton-park/,https://www.acobir.com/site/assets/files/2021/10/20/5326/clayton_park_1.600x450.jpg
Reserva Santa Fe - Apartamentos,9.073773,-79.364798,Residencial,Proyecto a Estrenar,Apartamentos,"62,04m2",2,1,"$82,769",https://www.acobir.com/proyectos/list/reserva-santa-fe-apartamentos/,https://www.acobir.com/site/assets/files/2021/10/12/5319/a4a9576.600x450.jpg
Riviera del Golf,8.997735533351374,-79.49808207809542,Residencial,Proyecto a Estrenar,Apartamentos,"183,55m2",3,2,"$454,520",https://www.acobir.com/proyectos/list/riviera-del-golf/,https://www.acobir.com/site/assets/files/2021/10/11/5315/rtqlbytdsmls.600x450.jpg
Torres de Cantabria,9.053004193504224,-79.42706968521321,Residencial,Proyecto a Estrenar,Apartamentos,"74,63m2",2,2,"$125,000",https://www.acobir.com/proyectos/list/torres-de-cantabria/,https://www.acobir.com/site/assets/files/2021/10/08/5308/2.600x450.jpg
Torres de Versalles,9.041508893512189,-79.418705384318,Residencial,Proyecto a Estrenar,Apartamentos,"89,79m2",3,2,"$155,250",https://www.acobir.com/proyectos/list/torres-de-versalles/,https://www.acobir.com/site/assets/files/2021/10/08/5307/asp_2020-pano_1.600x450.jpg
Van Gogh,8.984942,-79.530613,Residencial,En Construcción,Apartamentos,71m2,3,2,"$180,000",https://www.acobir.com/proyectos/list/van-gogh-1/,https://www.acobir.com/site/assets/files/2021/10/04/5292/apto_d-_comedor.600x450.jpg
Bay View,8.96020929253092,-79.54049058572384,Residencial,Proyecto a Estrenar,Apartamentos,60m2,1,1,"$120,000",https://www.acobir.com/proyectos/list/bay-view/,https://www.acobir.com/site/assets/files/2021/06/22/5185/bayviewcintacostera.600x450.jpg
Downtown,8.985363892146147,-79.52291478572367,Residencial,Proyecto a Estrenar,Apartamentos,40m2,1,1,"$140,000",https://www.acobir.com/proyectos/list/downtown/,https://www.acobir.com/site/assets/files/2021/06/22/5178/img_20201214_091121.600x450.jpg
The Sands,8.961688292508377,-79.5390821857238,Residencial,En Construcción,Apartamentos,30m2,1,1,"$140,000",https://www.acobir.com/proyectos/list/the-sands/,https://www.acobir.com/site/assets/files/2021/05/20/5101/the_sands_low_pantalla.600x450.jpg
Worldwide Plaza,8.986727692125273,-79.52553038572373,Residencial,Proyecto a Estrenar,Apartamentos,56m2,1,1,"$140,000",https://www.acobir.com/proyectos/list/worldwide-plaza/,https://www.acobir.com/site/assets/files/2021/05/20/5100/edificio1.600x450.jpg
The Gray,8.979039192242997,-79.52898288572376,Residencial,En Construcción,Apartamentos,43m2,1,1,"$120,000",https://www.acobir.com/proyectos/list/the-gray/,https://www.acobir.com/site/assets/files/2021/05/20/5098/dia.600x450.jpg
El Botánico,8.975124492302916,-79.53645508572382,Residencial,En Construcción,Apartamentos,35m2,1,1,"$118,000",https://www.acobir.com/proyectos/list/el-botanico/,https://www.acobir.com/site/assets/files/2021/05/20/5097/3.600x450.jpg
TORRE MONDRIAN,8.999128593541604,-79.51534168521351,Residencial,En Construcción,Apartamentos,79m2,2,2,"$155,000",https://www.acobir.com/proyectos/list/torre-mondrian/,https://www.acobir.com/site/assets/files/2020/07/10/3487/mondrian.600x450.jpg
PH Sabana Tower,9.0073149,-79.508935,Residencial,En Construcción,Apartamentos,"99,7m2",3,2,"$180,750",https://www.acobir.com/proyectos/list/ph-sabana-tower/,https://www.acobir.com/site/assets/files/2020/06/18/3448/ph_sabana_tower-1.600x450.jpg
PH Calas de Mallorca,9.05727779837532,-79.50853874197442,Residencial,En Construcción,Apartamentos,"61,35m2",2,2,"$99,000",https://www.acobir.com/proyectos/list/ph-calas-de-mallorca/,https://www.acobir.com/site/assets/files/2020/06/18/3439/ph_calas_de_mallorca-_1.600x450.jpg
PH TEN TOWER - COSTA DEL ESTE,9.0101796,-79.4692812,Residencial,Proyecto a Estrenar,Apartamentos,419m2,2,3.5,"$975,000",https://www.acobir.com/proyectos/list/ph-ten-tower-costa-del-este/,https://www.acobir.com/site/assets/files/2020/05/12/3377/4afd6422-0f15-459f-add0-e91cc7f0048c.600x450.jpg
SERCOTEL PRINCESS,8.979995995442636,-79.52156945198007,Residencial,Proyecto a Estrenar,Apartamentos,"40,02m2",1,1,"$160,000",https://www.acobir.com/proyectos/list/sercotel-princess/,https://www.acobir.com/site/assets/files/2020/05/12/3381/2016-07-14-photo-00000044.600x450.jpg
Vivendi Green,8.99537049354421,-79.53309368521359,Residencial,Proyecto a Estrenar,Apartamentos,73m2,2,2,"$180,000",https://www.acobir.com/proyectos/list/vivendi-green/,https://www.acobir.com/site/assets/files/2020/04/03/3059/2.600x450.jpg
Elite 500,9.003912093538304,-79.53795488521354,Residencial,Proyecto a Estrenar,Apartamentos,"125,1m2",3,2,"$325,000",https://www.acobir.com/proyectos/list/elite-500/,https://www.acobir.com/site/assets/files/2020/04/03/3058/5.600x450.jpg
El Mare 700,8.99474289354462,-79.53363758521361,Residencial,Proyecto a Estrenar,Apartamentos,"87,44m2",2,1,"$206,100",https://www.acobir.com/proyectos/list/el-mare-700/,https://www.acobir.com/site/assets/files/2020/04/03/3061/6.600x450.jpg
Ocean Front,8.974401102418668,-79.51260026475644,Residencial,Proyecto a Estrenar,Apartamentos,"320,78m2",3,3.5,"$913,400",https://www.acobir.com/proyectos/list/ocean-front/,https://www.acobir.com/site/assets/files/2020/04/03/3062/9.600x450.jpg
Pacific Park,8.9953722,-79.5319812,Residencial,Proyecto a Estrenar,Apartamentos,142m2,3,2.5,"$345,100",https://www.acobir.com/proyectos/list/pacific-park/,https://www.acobir.com/site/assets/files/2020/04/03/3064/3.600x450.jpg
Deluxe Residences,8.972697199999999,-79.5163441,Residencial,Proyecto a Estrenar,Apartamentos,"197,4m2",3,3.5,"$519,253",https://www.acobir.com/proyectos/list/deluxe-residences/,https://www.acobir.com/site/assets/files/2020/04/03/3060/54.600x450.jpg
Luxor 400,8.987830493549453,-79.52933848521367,Residencial,En Construcción,Apartamentos,94m2,2,2,"$243,630",https://www.acobir.com/proyectos/list/luxor-400/,https://www.acobir.com/site/assets/files/2020/04/03/3066/8543.600x450.jpg
Costanera,8.976651193557181,-79.5305572852137,Residencial,En Construcción,Apartamentos,123m2,4,2,"$368,220",https://www.acobir.com/proyectos/list/costanera/,https://www.acobir.com/site/assets/files/2020/04/02/3065/pool.600x450.jpg
Zafiro Residences,9.1059247,-79.4842797,Residencial,Pre-Venta,Apartamentos,86m2,3,2,"$198,000",https://www.acobir.com/proyectos/list/zafiro-residences/,https://www.acobir.com/site/assets/files/2020/04/02/3069/97c53095-b5c6-475f-9e7d-f9ac15a12b67.600x450.jpg
Panorama 360,9.1059247,-79.4842797,Residencial,Pre-Venta,Apartamentos,52m2,2,2,"$120,000",https://www.acobir.com/proyectos/list/panorama-360/,https://www.acobir.com/site/assets/files/2020/04/02/3067/360.600x450.jpg
Greenwood Tower 100 y 200,9.03318679351797,-79.51602818521334,Residencial,En Construcción,Apartamentos,40m2,2,2,"$112,500",https://www.acobir.com/proyectos/list/greenwood-tower-100-y-200/,https://www.acobir.com/site/assets/files/2020/04/02/3071/12_living-view-to-outside-1200x800_c.600x450.jpg
Greenview,9.0257809,-79.464696,Residencial,Proyecto a Estrenar,Apartamentos,314m2,3,3.5,"$847,800",https://www.acobir.com/proyectos/list/greenview/,https://www.acobir.com/site/assets/files/2020/04/01/3082/copy_of_img_0708.600x450.jpg
Bristol Residences,8.98078729355434,-79.52724998521371,Residencial,Proyecto a Estrenar,Apartamentos,"75,2m2",1,1.5,"$395,000",https://www.acobir.com/proyectos/list/bristol-residences/,https://www.acobir.com/site/assets/files/2020/04/01/3081/copy_of_sala_comedor_suite_3.600x450.jpg
PH. Casco View,8.9530666,-79.5406791,Residencial,En Construcción,Apartamentos,45m2,1,1,"$130,000",https://www.acobir.com/proyectos/list/ph-casco-view/,https://www.acobir.com/site/assets/files/2020/03/17/3094/living_cascoview.600x450.jpg
Pulida Hills,0,0,Residencial,Pre-Venta,Apartamentos,57m2,2,2,"$106,900",https://www.acobir.com/proyectos/list/pulida-hills/,https://www.acobir.com/site/assets/files/2020/03/09/3108/habitacio_n_principal.600x450.jpg
Spotlight,9.032623135778975,-79.51572100328558,Residencial,Proyecto a Estrenar,Apartamentos,75m2,2,1.5,"$180,000",https://www.acobir.com/proyectos/list/spotlight/,https://www.acobir.com/site/assets/files/2020/02/19/3116/dsc3091.600x450.jpg
Portofino Towers,9.0166342,-79.5334199,Residencial,Proyecto a Estrenar,Apartamentos,"111,5m2",3,2,"$255,700",https://www.acobir.com/proyectos/list/portofino-towers/,https://www.acobir.com/site/assets/files/2020/02/15/3115/img_2153.600x450.jpg
Bonavista At The Park,9.0155943,-79.5343611,Residencial,En Construcción,Apartamentos,128m2,3,2,"$307,600",https://www.acobir.com/proyectos/list/bonavista-at-the-park/,https://www.acobir.com/site/assets/files/2020/02/15/3110/grupo_vivir_bonasita_tipo_cocina_cam01_post_night-1.600x450.jpg
Victoria Royale,9.0131245,-79.5125212,Residencial,Proyecto a Estrenar,Apartamentos,100m2,3,2,"$225,000",https://www.acobir.com/proyectos/list/victoria-royale-1/,https://www.acobir.com/site/assets/files/2020/02/15/3118/ikm_4576.600x450.jpg
Condado Country Club,9.035608593516297,-79.52916108521332,Residencial,Proyecto a Estrenar,Apartamentos,73m2,2,2,"$230,000",https://www.acobir.com/proyectos/list/condado-country-club/,https://www.acobir.com/site/assets/files/2020/02/15/3111/grupo_0_-ikm_4052_ikm_4053-2_images.600x450.jpg
Paramount,9.0110426,-79.4683063,Residencial,Proyecto a Estrenar,Apartamentos,313m2,3,3.5,"$950,000",https://www.acobir.com/proyectos/list/ph-paramount-1/,https://www.acobir.com/site/assets/files/2020/02/14/3114/fachada2-paramount_1.600x450.jpg
La Sierra,8.944501,-79.7416687,Residencial,En Construcción,Apartamentos,64m2,2,2,"$79,000",https://www.acobir.com/proyectos/list/la-sierra-1/,https://www.acobir.com/site/assets/files/2020/01/22/3126/apto_64_m2_sierra_8.600x450.jpg
Portoalegre,9.0378525,-79.4848739,Residencial,Proyecto a Estrenar,Apartamentos,135m2,3,3,"$200,000",https://www.acobir.com/proyectos/list/portoalegre/,https://www.acobir.com/site/assets/files/2020/01/22/3127/portoalegre-7.600x450.jpg
Hacienda Golf Torre 2,9.070330890837326,-79.4670267850652,Residencial,Pre-Venta,Apartamentos,55m2,1,2,"$120,000",https://www.acobir.com/proyectos/list/hacienda-golf-torre-2/,https://www.acobir.com/site/assets/files/2020/01/22/3124/piscina_de_nin_os.600x450.jpeg
Hacienda Golf Torre 1,9.070330890837326,-79.4670267850652,Residencial,Proyecto a Estrenar,Apartamentos,77m2,2,2,"$170,000",https://www.acobir.com/proyectos/list/hacienda-golf-torre-1/,https://www.acobir.com/site/assets/files/2020/01/22/3123/hg_foto_5.600x450.jpg
Aviñon,9.0327716,-79.5146204,Residencial,Proyecto a Estrenar,Apartamentos,77m2,3,2,"$152,000",https://www.acobir.com/proyectos/list/avinon/,https://www.acobir.com/site/assets/files/2020/01/22/3120/oficial_avin_on.600x450.jpg
